steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_value_loss	average_policy_loss
300000	3000	2584.374269962311	0.0	0.0	0.0	0.0	0.0	45.66374105322361	0.003734189825583198	0.002248649975517765	0.016625413802685216
310000	3100	2670.4655611515045	0.0	0.0	0.0	0.0	0.0	45.572641768097874	0.0016556963906547689	0.0026117840863298623	0.04854214151389897
320000	3200	2757.061624288559	0.0	0.0	0.0	0.0	0.0	50.910015843153	0.011646373413534656	0.15210579700331436	-0.3820844500977546
330000	3300	2842.8186790943146	0.0	0.0	0.0	0.0	0.0	33.61943370166421	0.006838966121623613	0.011176098682917655	-0.04297414354630746
340000	3400	2928.445225954056	0.0	0.0	0.0	0.0	0.0	43.48816589957476	0.0030826385021186626	0.025602489840239287	-0.22207876443862914
350000	3500	3013.7303326129913	0.0	0.0	0.0	0.0	0.0	48.24605576843023	0.003839361512273676	0.0013689398032147436	-0.02069935702602379
360000	3600	3099.004737854004	0.0	0.0	0.0	0.0	0.0	51.79943340438604	0.007295127623297475	0.1806755745864939	0.19044964853674173
370000	3700	3184.3470072746277	0.0	0.0	0.0	0.0	0.0	50.845478821754455	0.007909561024308651	0.04263930765562691	-0.0950824345741421
380000	3800	3269.6765756607056	0.0	0.0	0.0	0.0	0.0	52.07476202636957	0.010956087188517493	0.0017346594845002983	0.019019114766269923
390000	3900	3355.2107474803925	0.0	0.0	0.0	0.0	0.0	51.16660413312912	0.0069220190770017355	0.004535948494449258	-0.06885434528812766
400000	4000	3441.2403547763824	0.0	0.0	0.0	0.0	0.0	51.27957580763102	0.0036717043397758785	0.0008677848349907436	-0.007358655784628354
410000	4100	3526.4272813796997	0.0	0.0	0.0	0.0	0.0	51.45109569376707	0.007588839899068309	0.0009608719304378611	0.0013077487028203905
420000	4200	3611.5150697231293	0.0	0.0	0.0	0.0	0.0	51.800114530146125	0.007484604152921072	0.001067800499004079	0.012908577438211069
430000	4300	3697.1564972400665	0.0	0.0	0.0	0.0	0.0	50.62266667164862	0.0035709969613768743	0.20125797853892435	0.12925904647796416
440000	4400	3782.768104314804	0.0	0.0	0.0	0.0	0.0	-85.83985818290711	0.34512246982702377	55.62442193984985	-7.885954594612121
450000	4500	3868.0526597499847	0.0	0.0	0.0	0.0	0.0	40.14358082219958	0.011784999811948296	1.0710235955566167	-0.7802686199545861
460000	4600	3953.5699605941772	0.0	0.0	0.0	0.0	0.0	49.15076881673932	0.004689520190962157	0.0021929868010920474	-0.03185489458730444
470000	4700	4039.288399219513	0.0	0.0	0.0	0.0	0.0	51.064639624893665	0.004304743911564223	0.0008907004117645556	-0.006039851201931015
480000	4800	4125.743446111679	0.0	0.0	0.0	0.0	0.0	51.122260871559384	0.00344164659119712	0.0013631946661917028	-0.0293144278973341
490000	4900	4211.200523376465	0.0	0.0	0.0	0.0	0.0	51.48285645272583	0.009280034846029538	0.055392556788865475	-0.0931731605855748
500000	5000	4297.291409254074	0.0	0.0	0.0	0.0	0.0	51.332881002664564	0.002713872357077186	0.06566023996580043	0.07158564212033525
510000	5100	4383.120311021805	0.0	0.0	0.0	0.0	0.0	51.4222023576498	0.01388997428503155	0.0010620692785596475	0.011681967203039677
520000	5200	4468.418659925461	0.0	0.0	0.0	0.0	0.0	51.452391753137114	0.009430394504726365	0.01904484824917745	0.011927571807755158
530000	5300	4553.445399284363	0.0	0.0	0.0	0.0	0.0	-40.766541523426774	0.24269460141751836	46.31362646102905	-7.0881567525863645
540000	5400	4638.7339997291565	0.0	0.0	0.0	0.0	0.0	48.62067854821682	0.016119979126905493	1.8113438313454389	-0.6779186188802123
550000	5500	4724.079194307327	0.0	0.0	0.0	0.0	0.0	51.490573562681675	0.008885058529799266	1.371202577650547	0.43000609673559664
560000	5600	4810.119660139084	0.0	0.0	0.0	0.0	0.0	52.617017833381894	0.0046896456412868015	0.0010402407241053878	-0.022018139604479074
570000	5700	4896.401552915573	0.0	0.0	0.0	0.0	0.0	52.86427528535947	0.0071588550882615894	0.11367848510999465	0.060264024122152475
