steps	episodes	average_discriminator_loss	average_rewards	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates
3788800	7400	-2.2551100417128764	1.8282499797058267	317.965802154541	0.03301421452593668	1768.5304016113282	0.0015871711447834969	592000
3799040	7420	-2.2786850174949502	1.8333260783264584	344.69580908203125	0.02227090270598201	1732.244887237549	-0.004953280538320542	593280
3809280	7440	-2.3920834856005384	1.8408170181356611	343.0265512084961	0.01949128327585701	1752.5415866088867	-0.009484795844182372	595200
3819520	7460	-2.3550605780719778	1.846140927425286	343.735071472168	0.020101006672552612	1747.5224522399903	-0.007022620532661676	596480
3829760	7480	-2.3222613648995756	1.854170790499943	352.671768951416	0.022276095547165243	1851.8094891357423	-0.003398099169135094	598400
3840000	7500	-2.354836752192583	1.8594410436420743	353.2074252624512	0.021044900191365637	2003.9074917602538	0.00010590752586722374	599680
3850240	7520	-2.2472736796815878	1.867564132787842	355.2600635986328	0.02257130076255045	1899.0322970581055	-0.006619698144495487	601600
3860480	7540	-2.3443980391067454	1.8729170365100865	358.58898495483396	0.02203804763884874	1858.1400357055663	-0.0037953006103634834	602880
3870720	7560	-2.3942015570858493	1.8813668043308316	367.7554294128418	0.01894897834386325	1997.503274230957	-0.0014504745230078696	604800
3880960	7580	-2.434684140685946	1.8867507347622698	371.8837257995605	0.0157126834875978	2182.006611328125	0.0023499806597828865	606080
3891200	7600	-2.235712232421618	1.8948946746183852	374.85635693359376	0.020679077594492622	2157.020712890625	0.002216549590229988	608000
3901440	7620	-2.173272125281859	1.9004475608753713	365.0333798522949	0.02432035667051372	2246.2374209594727	0.0028675004094839097	609280
3911680	7640	-2.0050952882240525	1.9085598255736822	378.75085299682615	0.025005869122991128	2189.795479431152	0.0038696485571563244	611200
3921920	7660	-2.19489714343939	1.9135328195346841	362.9719360046387	0.02445473240769282	2027.738272857666	-0.002435835935175419	612480
3932160	7680	-2.1722403021217325	1.921060166672881	353.83894622802734	0.031448106444961474	1993.2738230895995	0.003495156690478325	614400
3942400	7700	-2.1649760800083167	1.926070705437626	348.65089529418947	0.03140355943737594	1825.3976544189454	-0.011865070145577193	615680
3952640	7720	-2.350940363973845	1.9333512730336715	349.92265048217774	0.02256887133710477	1960.572949371338	0.0015154232271015645	617600
3962880	7740	-2.241571773654781	1.9385026883595886	357.74847860717773	0.023887453919569764	2198.1348385620117	-0.0005203977599740028	618880
3973120	7760	-2.1903029308207334	1.9463531783349888	363.99738040161134	0.01662851456673724	1951.2918365478515	-0.0021348366513848304	620800
3983360	7780	-2.304596670200117	1.951490228476363	354.68435958862307	0.018918096213055135	2067.1608898925783	0.006978752007707954	622080
3993600	7800	-2.256637796592433	1.9596478691257728	367.53107690429687	0.021033770676591658	1945.2901434326172	-0.01110340620391071	624000
4003840	7820	-2.2728937902050093	1.9651418507438507	377.35158526611326	0.02385661585020282	2207.592797241211	-0.003154389355331659	625280
4014080	7840	-2.2639211421017533	1.9736333320734605	370.7133620605469	0.028458705824900277	2314.4903866577147	-1.535773277282715e-05	627200
4024320	7860	-2.2013125443547032	1.9792873183637099	406.7639785766602	0.012766291592285196	2352.776021270752	-0.0012940241023898125	628480
4034560	7880	-2.2259269322683104	1.9879795480292612	394.08993792724607	0.018667311714994247	2537.0019999694823	-0.0009329698607325554	630400
4044800	7900	-2.1208825099295936	1.9938011733869803	386.9511878967285	0.029479861153121855	2306.7505221557617	0.0011708873230963945	631680
4055040	7920	-2.108027560172137	2.002615741205712	394.83799530029296	0.027983736017356358	2583.0936277770998	-0.002905731564387679	633600
4065280	7940	-2.2319233028702437	2.0085079548974343	403.7208277587891	0.02088832425351059	2477.4020349121092	-0.007112809363752604	634880
4075520	7960	-2.19658843228966	2.017660085319649	407.24272210693357	0.02855643610544321	2605.5918759155275	0.00015945009887218474	636800
4085760	7980	-2.2152737442278303	2.023613782838704	403.9590619506836	0.025864065091282726	2749.7473345947265	0.0016326172091066836	638080
4096000	8000	-2.2692348294509577	2.0325273813400417	409.68246185302735	0.03199029541885637	2842.0044219970705	0.0045300694927573205	640000
4106240	8020	-2.311585452268366	2.042597454050556	403.50050451660155	0.02816686358903302	2481.801819152832	-0.004698449391871691	641280
4116480	8040	-2.2417025984162464	2.066332646826282	392.7830473937988	0.029201115257409267	2661.145107421875	0.00894304171204567	643200
4126720	8060	-2.2285112737109887	2.0836040296349676	381.0357648010254	0.025284926550095534	2412.562005310059	0.002033630320802331	644480
4136960	8080	-2.1545854074400848	2.1053745548520237	384.9042856750488	0.020546407423252474	2384.6694244384767	-0.00038358751684427263	646400
4147200	8100	-2.3086212539500557	2.1181775023732334	375.7589507751465	0.023319038372597214	2199.8042630004884	-0.004739967472851277	647680
4157440	8120	-2.202237821167335	2.1373696599993854	375.16348727416994	0.01910298043996541	2262.5316006469725	-0.002576631959527731	649600
4167680	8140	-2.0904213510584086	2.151131135204807	389.5885975341797	0.015874960991951476	2445.7597106933595	0.003626347370445728	650880
4177920	8160	-2.204817674632184	2.174219859579578	373.2820820922852	0.024443638325363046	2190.9912326049803	-0.011517667658627034	652800
4188160	8180	-2.2130177509225906	2.191035731295124	385.31921520996093	0.013706371924392731	2257.259258117676	-0.007371704364195466	654080
4198400	8200	-2.1226720011704603	2.2213511934075503	401.28351696777344	0.02316403589093439	2282.006760253906	-0.0006478937901556492	656000
4208640	8220	-2.219754356307909	2.241381203154102	395.2520412902832	0.029186166138368767	2264.7792977905274	-0.009077449003234506	657280
4218880	8240	-2.1434174533789045	2.267120544889942	382.6379432067871	0.02437275932297261	2325.7853373718262	-0.0011679127160459757	659200
4229120	8260	-2.3123699239906856	2.28409797523357	380.77653829956057	0.028063151289865588	2345.7103771972656	-0.0008966121822595596	660480
4239360	8280	-2.314663851120509	2.309299591520801	377.6493654785156	0.024425688258315377	2215.128327026367	0.0002489998377859592	662400
4249600	8300	-2.1252191349626517	2.330336096743122	372.825208404541	0.017694265624126657	2283.4046321105957	-0.004212939590215683	663680
4259840	8320	-2.249611472203862	2.4138118691239505	372.6339569091797	0.01986010325606887	2232.0265173339844	-0.0061417209543287755	665600
4270080	8340	-2.3770094441846013	2.443630272606388	374.36832244873045	0.021911792572948636	2119.8699108886717	0.0008670448139309883	666880
4280320	8360	-2.2142722282675096	2.492021796444431	382.67903359985354	0.01929732433876732	2422.791419067383	0.0030706881918013094	668800
4290560	8380	-2.27272012518486	2.510394129017368	378.9160559387207	0.020655984383577904	2328.805117492676	-0.001939967554062605	670080
4300800	8400	-2.2676727975425313	2.5375163066182287	394.20505044555665	0.023989398682500614	2606.2098095703127	0.008809676384553313	672000
4311040	8420	-2.286919381622691	2.554991561392322	399.42407290649413	0.016166395404264563	2593.598430328369	-0.0001005951501429081	673280
4321280	8440	-2.312157187523786	2.579898653248325	412.59781323242186	0.016480780537938947	2701.454688720703	-0.0015881419740617275	675200
4331520	8460	-2.3053667223625816	2.595988614300266	406.28051953125	0.02589083406406309	2550.4186541748045	-0.0024502176512032747	676480
4341760	8480	-2.1812599027999675	2.6192382509503513	407.1673250732422	0.01983191146179878	2765.600341491699	0.005645051002502442	678400
4352000	8500	-2.304764225587249	2.634138809422031	414.3830010681152	0.02437256850794358	2556.157589416504	-0.002067205924540758	679680
4362240	8520	-2.2716270904885607	2.6562327854428442	419.1353942565918	0.02870655027319084	2662.113392944336	-0.01257606266066432	681600
