steps	episodes	elapsed	mean	median	stdev	max	min	average_discriminator_loss	average_rewards	average_value	average_entropy	average_value_loss	average_policy_loss
370000	3700	5239.057793140411	0.0	0.0	0.0	0.0	0.0	0.029636841291561723	-0.9087602838277816	-40.16272209793329	0.029573057602668273	0.7216260225698352	-0.38024558424949645
380000	3800	5382.655378818512	0.0	0.0	0.0	0.0	0.0	0.029989961985498668	-0.9068540226221085	-22.325992602929475	0.01045392581781361	0.5448755168914795	0.7804248493909836
390000	3900	5525.552233457565	0.0	0.0	0.0	0.0	0.0	0.03038905338011682	-0.8796444872021675	-15.173316173002124	0.004922743159041615	0.3893926212191582	-0.25043858274817465
400000	4000	5670.149265766144	0.0	0.0	0.0	0.0	0.0	0.030986186927184464	-0.8353567977249622	-12.193644658729434	0.005482246939107309	0.06268333552405238	0.09918518140912055
410000	4100	5813.53161239624	0.0	0.0	0.0	0.0	0.0	0.03168496216647327	-0.7895575241297483	-5.911073947399855	0.016888669713500552	0.06994010190479458	-0.08026017755270004
420000	4200	5956.644471883774	0.0	0.0	0.0	0.0	0.0	0.03255758308246732	-0.732308939948678	-4.358340913258493	0.018034392520732995	0.04101750933565199	-0.06123341992497444
430000	4300	6099.798293352127	0.0	0.0	0.0	0.0	0.0	0.03300189422816038	-0.7084997200407088	-20.659893137961625	0.07148112407400868	2.2776459136605265	-1.5420482105016708
440000	4400	6241.825754404068	0.0	0.0	0.0	0.0	0.0	0.033529724480584264	-0.666127565715462	-12.0881116681844	0.02903117352566443	0.4550832072366029	-0.36146077886223793
450000	4500	6384.189534664154	0.0	0.0	0.0	0.0	0.0	0.03407334386743605	-0.6223788162507117	-14.498426571384073	0.015363707867818696	0.6244379499182106	-0.05757261037826538
460000	4600	6527.384163618088	0.0	0.0	0.0	0.0	0.0	0.03464047111943364	-0.5774928834326565	-11.593792708426713	0.009102763673043957	0.18681700027547776	0.22826223582029342
470000	4700	6670.9345235824585	0.0	0.0	0.0	0.0	0.0	0.035318093905225396	-0.5236603393517435	-10.812968895718456	0.02301293886511312	0.4200492087006569	0.44574985474348067
480000	4800	6815.8465938568115	0.0	0.0	0.0	0.0	0.0	0.03607584801129997	-0.46994899290427566	-11.418503130689263	0.009001268962450985	0.6951677426695824	0.23921895548701286
490000	4900	6958.739755392075	0.0	0.0	0.0	0.0	0.0	0.036811837859451774	-0.4123039229698479	-9.599455872058869	0.009560136192258803	0.36586641614325344	0.21278392128646373
500000	5000	7102.330160140991	0.0	0.0	0.0	0.0	0.0	0.03752115068398416	-0.357558380831033	-10.051670336425305	0.012325159452878858	0.1473654930666089	-0.24305486602708698
510000	5100	7246.029063463211	0.0	0.0	0.0	0.0	0.0	0.0379844425432384	-0.31085949325561524	-8.428026348978282	0.00916122994422356	0.08366051345597952	-0.22502244681119918
520000	5200	7390.562068939209	0.0	0.0	0.0	0.0	0.0	0.03842029947787523	-0.27703833267837763	-6.075727794453502	0.012870125042143413	0.0373814788646996	0.010499752648174763
530000	5300	7533.265203714371	0.0	0.0	0.0	0.0	0.0	0.038711593165993693	-0.259996307130903	-5.192902667298913	0.01805555246831182	0.06578610921278596	0.0660220255330205
540000	5400	7675.607121706009	0.0	0.0	0.0	0.0	0.0	0.03868168517947197	-0.2514908391293138	-6.690461186155677	0.01989422300142399	0.5221171715110541	0.07325350878760219
